m1,m2,x1_0,x2_0,v1_0,v2_0,t,x1_t,x2_t
2.1915949000814674,6.577115557959785,"[0.7044086443077298, -9.397763973219211]","[5.944719090918378, 7.645759244299558]","[-4.605760147893452, -3.969816555307637]","[1.424650795909617, -1.3834919930527754]",36.39718278585112,"[-165.7923500904892, -152.43488108355695]","[57.41815076387976, -43.19362062444503]"
0.843724240751795,6.72213879536398,"[1.9155231923150513, 0.6218061682151781]","[5.504301677123646, -6.417753206224461]","[4.440775012404632, 3.08889442189645]","[-2.7184911425205427, -4.388724334222625]",49.03092667719801,"[219.08431120533538, 147.39675335154263]","[-127.71473111449603, -221.01401828757082]"
1.2709053484779742,2.209180146634971,"[7.462981467401498, -5.872123836835906]","[9.450340835219432, -2.1031438461789005]","[0.7800557490348217, 2.108301463537966]","[-1.4465989459138462, 4.111284545069717]",33.4945830947527,"[32.61393460883592, 71.48149082244959]","[-38.44101451426843, 131.72696838830163]"
8.059045505368982,2.9341378627895303,"[-3.3742648059827847, 3.8176419172028258]","[-9.963592772066907, 7.48677349831916]","[-0.2070968766568395, 1.9463650999600741]","[-2.7975973813770816, 3.5605080372861977]",36.77897982767429,"[-14.481477918192668, 77.44924774048536]","[-103.26946486014467, 132.81820633897678]"
4.25271152088429,6.062594663268839,"[5.806941841019501, -8.650971024338554]","[2.9493444718099617, 5.350484502870721]","[2.709333354434655, -1.59952926765948]","[1.0605403336362933, -3.872071417942493]",16.088372798833007,"[45.66670517592658, -32.428029230886736]","[22.627485248047446, -58.31745047644307]"
5.593963854223914,0.1627767484622199,"[6.139417352924518, 1.3354593406625348]","[-6.082253844713561, 0.3711772999806424]","[2.8360728402214965, 4.399400668945338]","[-2.137596563705614, 3.7637327749438487]",9.583088955851492,"[33.30265270900826, 43.493874942875905]","[-26.04800567543764, 36.48858760434201]"
6.613822288217388,8.823049044799864,"[1.7428268277170584, 8.658548733045755]","[4.2400211529716, -8.6686504051341]","[-4.18434992082653, 1.1367365752965162]","[4.985823480986573, 2.3332882934393915]",31.426108258397857,"[-128.2030752067766, 42.980078142528356]","[159.76171033535118, 65.70822766437931]"
6.2167948651330756,2.458034505991463,"[-6.671419766683271, 7.322988796461857]","[6.14720187893958, -6.589803314781808]","[4.601055088217246, 2.0968364848538803]","[3.534367943565469, 1.7299433597428475]",10.51321405897082,"[41.91380240492822, 28.992440824939976]","[42.76518185389957, 12.545999555999206]"
1.6056840985813745,9.103895767577997,"[-8.416923782661492, 8.606009716153878]","[1.5923257126041168, -6.999539837200224]","[-4.347068187625273, -1.479777350571795]","[4.2256672284273975, 1.377934457224958]",18.635939093775,"[-88.53074976847194, -19.418863826550886]","[80.18324216938048, 18.75854855875454]"
0.3529340147932686,8.698613806910885,"[-8.93016682133808, 7.99830966291692]","[-4.878258547570129, -8.702418169020795]","[2.4054307328314355, -3.7017256224948856]","[-3.889086259210309, -3.2664618912134955]",34.306830962727105,"[71.34875839025985, -122.29424011157771]","[-138.20944521216268, -120.63055938221507]"
5.9608541258299725,2.8288970560069875,"[7.080125514159324, -3.808417082184734]","[-8.512507721446772, -6.408940363490756]","[-4.269052099464908, 4.043562977770108]","[0.0037839407860662533, -2.2292988453678864]",28.721104685633986,"[-116.06585792579922, 111.36044098158497]","[-7.278429156597593, -68.39982414548703]"
7.152359554148886,0.8830943476965507,"[-2.4648723337212397, -2.625681098406371]","[0.6412945160180943, 1.2358471576343906]","[3.093637520361618, 2.0641521506065352]","[1.9960331190478096, 0.4831065050182808]",2.2737124123573693,"[4.57517069331325, 1.8777032326295542]","[5.131096501753763, 3.8723635631107913]"
1.8505735531123568,5.247160850829828,"[7.244999698176432, -5.231508993126992]","[5.748852058715009, 3.581312765637648]","[-3.9506315578395346, -1.1144856928894828]","[4.787346850202097, -4.576245344648512]",37.487672395114885,"[-137.44307921058805, -43.99194285045307]","[184.01202941890134, -169.03623158234285]"
1.8865345230239385,6.4320053662602765,"[-1.4978401382211377, -3.9805651296561306]","[5.293946944882851, 9.827813975081071]","[1.2739699362660062, -4.471482211483386]","[1.8196382370266484, -3.5951531172946396]",48.85999875418186,"[66.508633824648, -211.71184398124404]","[92.5119471467563, -168.98301572171874]"
7.8760090192397,1.2371105320680853,"[9.437147040149402, 3.275457024047437]","[-7.068270417477254, -1.9329860994033723]","[-0.19043154130369544, -3.5525415263912183]","[3.4906270600369176, 2.882142620020181]",17.810153485806786,"[5.756726849066132, -59.72010415063034]","[56.938998782625845, 47.64287469160533]"
7.409118721434353,1.4865653036259616,"[-7.820623695716917, -1.1731153614569436]","[7.469140417431326, -0.630147287841643]","[-4.965441992368664, -3.4938173978461418]","[4.911481017442441, 2.1510351189693946]",20.995186944761727,"[-111.92254853108655, -74.4897726592182]","[109.84667987980264, 44.348361722529106]"
4.68181788174628,5.636906533518015,"[-9.311828824282482, 3.581512172428358]","[-7.114373082531708, 3.6167034986766193]","[3.6531786769333525, 0.7110923705664698]","[1.9720124619090473, -1.6603135133258986]",5.6495364782343485,"[10.779238917438256, -2.5173342311721907]","[4.481482482886843, 2.638855088437479]"
2.1838479708032645,7.738849760591079,"[5.2007696569319535, 6.812698606772276]","[-8.974389151691685, -8.762969245407035]","[-2.0151434358726528, -1.1621948420641672]","[-1.5586387134087554, -3.0146993716001314]",47.39013521636139,"[-92.85197312511441, -54.50057515325261]","[-82.11753581769183, -149.87002717449434]"
9.550415500014502,9.534375385670112,"[-9.461307876078394, 8.741156663770845]","[-4.418782462684225, 9.253410243696742]","[-1.8846399936038525, -0.14740536132065163]","[0.18993713297240689, 4.996007553690774]",20.320454761204562,"[-41.6993386608802, 10.060127461981168]","[-6.628077336644547, 106.45298278220375]"
8.692525772570542,8.831930706522037,"[-2.7248155933625036, -6.928725045940833]","[5.653350498353921, 7.618110584697465]","[4.7199633977569295, -0.14763169315203495]","[-2.071784355630719, 4.996942783734635]",49.30090044696299,"[229.4544114889526, -10.576067319243922]","[-95.97646070950071, 250.39816911337465]"
8.466859688531876,6.455783986975857,"[6.089968129704253, 5.774021116337941]","[-9.185353087921834, 7.685181342023771]","[-1.1341603793142783, 3.415606654871139]","[0.4808711995886741, -1.6499604865538675]",8.425775958864321,"[-4.104021249085092, 34.16090096164184]","[-4.297144964260178, -5.702565523269531]"
8.78696707891212,8.20354608462993,"[-2.8643180162496185, 0.22387942712463804]","[-3.284429054349543, -0.1608014239530533]","[-4.504738370084808, -2.2225902727739575]","[3.72091859238442, 3.9859240910968836]",47.10596432665011,"[114.73424106017413, 65.06488483870513]","[-181.26024013620398, 6.004486002780791]"
3.229620154073881,6.720442954343787,"[4.127497863526532, -7.332755807098252]","[-3.3591287799120373, -9.903251061869838]","[3.9184182936673952, -3.518760907449199]","[4.406924188124604, 0.17102352533703513]",3.504521615047193,"[17.192397205226982, -19.53141848211704]","[12.405705836188288, -9.367767994721104]"
8.649457685919769,3.6326105981641397,"[-2.5773056572976323, 7.255310544604431]","[-5.56360365690826, -8.040726104320315]","[-1.8272272029812555, 3.5380324885429975]","[2.23819859327379, -3.787307891365402]",4.212990393995103,"[-10.27550401753749, 22.100178883122148]","[3.8661619717066036, -23.85178154624188]"
2.522257517406616,1.0302167455955735,"[-4.907478051904501, -3.8087502481831814]","[4.675719030290864, -8.008261962111243]","[-1.8578707081212342, 2.3514860755170552]","[-0.05664938611878245, -2.006429496654216]",27.380158240172687,"[-55.40760645886236, 60.242252928206696]","[2.2220538793738243, -62.12920114064812]"
0.1512015253987758,5.03354007934931,"[-9.104473366796764, 2.819535468469292]","[4.339347996655471, -7.178004736578769]","[-3.821591509633536, 2.3173704964581807]","[0.3682182601228874, -0.5463900374162538]",34.423428814831276,"[-139.3797053220268, 81.67323035173882]","[16.976321967148625, -25.95904336361879]"
5.71848814575343,6.021619050313384,"[7.747295769912, -7.747942060615749]","[9.495376736992473, -1.7106857830887563]","[-2.8787266049710514, 4.48266412733928]","[2.1620163718137944, 0.8814997679057193]",8.593423512731523,"[-15.29145073015189, 31.627280894309454]","[26.460675707444686, 5.05360364572744]"
1.7827555419955132,3.655118642901188,"[-6.435209513883442, -7.739233096814018]","[-3.404181277672283, -2.765653851427161]","[4.56971185670899, 2.768394752628952]","[3.188428683140124, 0.9494810483325331]",44.18806541049727,"[101.1240324381233, 61.39924752048868]","[183.5133167101049, 65.13382864318172]"
6.894987362922144,6.447367198773452,"[4.100318078020788, 2.2169308428053984]","[4.708295722899738, -1.8013800172543366]","[-0.21989241625737854, 1.760191786151247]","[1.3568477969975064, -2.4668615103621425]",33.46329553469003,"[-0.38265760981591557, 49.986913772219715]","[47.03791899011479, -72.44601293328876]"
7.4568761048642855,9.674563231164491,"[7.540958045727169, -1.0938920980648064]","[4.177109002521364, 9.568796700039883]","[-0.7881545542912418, -2.8305198985007474]","[-2.6601505599974806, -3.0425536619209623]",38.84115995486984,"[-39.683884245517994, -99.75614416721785]","[-86.34216684315957, -117.30060282854541]"
